Account,Before Balance,Balance on,Latest Balance,Before CPT,CPT on,Latest CPT,Before Credits Balance,Credits Balance on,Credits Latest Balance
0x1a114203392b3237a59950125eb861a7ba32c3e6,3.177878481952830000,3.318173379161140000,3.318173379161140000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000003000000000,0.000000003000000000,0.000000003000000000
0xa46df52e5349a87141cf48d5806a97a774be4d74,14.988708894353200000,15.650420594646600000,15.650420594646600000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000014149731318,0.000000014149731318,0.000000014149731318
0x953ad46ade32e1c2e76d725544811e4dd410cb50,1516.592857555590000000,1544.553559535790000000,1849.007362777990000000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000001431703131036,0.000001396449235506,0.000001671709538498
0x0b07cfdf4772cc7d6110621e9114ce527f41bb66,22212.787330665800000000,23193.422912851700000000,23193.422912851700000000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000020969449389092,0.000020969449389092,0.000020969449389092
0x2de85299198a1502f20c8efb52c1b46e158039a6,1.055516063613340000,1.102114295259800000,1.102114295259800000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000996434636,0.000000000996434636,0.000000000996434636
0x62d51fa08b15411d9429133ae5f224abf3867729,10.592054038805700000,11.059665101040500000,11.059665101040500000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000009999174700,0.000000009999174700,0.000000009999174700
0x1ab3087e181a5cfd09684f38d3412597d8df4f1f,2118.585654635220000000,2212.115586107430000000,2212.115586107430000000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000002000000000000,0.000002000000000000,0.000002000000000000
0xa8ec46a09a56da39011c82220eed0cf22a257f89,0.059850057467773500,0.099830796736799300,0.099830796736799300,0.944026027753104000,0.904111888438577000,0.904111888438577000,59850057.467773500000000000,99830796.736799300000000000,99830796.736799300000000000
0x092471cffe4b941c896bfec001fe8bcc73a991d9,0.000000000000000001,0.000000000000000001,0.000000000000000001,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000000000000,0.000000000000000000,0.000000000000000000
0x84e8ee329e2f868496de8f73e0cdc77e0d7b9f88,0.000000000000000001,0.000000000000000001,0.000000000000000001,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000000000000,0.000000000000000000,0.000000000000000000
0x6648b5554632ed5d6ec27ec6737e98a0a3dbbc94,0.000000000000000001,0.000000000000000001,0.000000000000000001,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000000000000,0.000000000000000000,0.000000000000000000
0x0319000133d3ada02600f0875d2cf03d442c3367,0.000177355188812849,0.000177355188812849,0.000177355188812849,0.944026027753104000,0.904111888438577000,0.904111888438577000,177355.188812849000000000,177355.188812849000000000,177355.188812849000000000
0xf4b67f83a65500d2692e2637acfe382ce09fc90b,0.799611248615286000,0.834911962147339000,0.834911962147339000,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000754853830,0.000000000754853830,0.000000000754853830
0xb7fda9fab3215b27978fbc701844df331216fd8a,0.000000000000000001,0.000000000000000001,0.000000000000000001,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000000000000,0.000000000000000000,0.000000000000000000
0x5bc0aa095632c76da0be9838d960da9a66fca30e,0.000000000000000001,0.000000000000000001,0.000000000000000001,0.944026027753104000,0.904111888438577000,0.904111888438577000,0.000000000000000000,0.000000000000000000,0.000000000000000000
